customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0002-ORFBO,No,Female,No,Yes,Yes,9,One year,Yes,Mailed check,65.6,593.3,Yes,No,DSL,No,Yes,No,Yes,Yes,No
0003-MKNFE,No,Male,No,No,No,9,Month-to-month,No,Mailed check,59.9,542.4,Yes,Yes,DSL,No,No,No,No,No,Yes
0004-TLHLJ,Yes,Male,No,No,No,4,Month-to-month,Yes,Electronic check,73.9,280.85,Yes,No,Fiber optic,No,No,Yes,No,No,No
0011-IGKFF,Yes,Male,Sí,Yes,No,13,Month-to-month,Yes,Electronic check,98.0,1237.85,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
0013-EXCHZ,Yes,Female,Sí,Yes,No,3,Month-to-month,Yes,Mailed check,83.9,267.4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
0013-MHZWF,No,Female,No,No,Yes,9,Month-to-month,Yes,Credit card (automatic),69.4,571.45,Yes,No,DSL,No,No,No,Yes,Yes,Yes
0013-SMEOE,No,Female,Sí,Yes,No,71,Two year,Yes,Bank transfer (automatic),109.7,7904.25,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0014-BMAQU,No,Male,No,Yes,No,63,Two year,Yes,Credit card (automatic),84.65,5377.8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No
0015-UOCOJ,No,Female,Sí,No,No,7,Month-to-month,Yes,Electronic check,48.2,340.35,Yes,No,DSL,Yes,No,No,No,No,No
0016-QLJIS,No,Female,No,Yes,Yes,65,Two year,Yes,Mailed check,90.45,5957.9,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0017-DINOC,No,Male,No,No,No,54,Two year,No,Credit card (automatic),45.2,2460.55,No,No phone service,DSL,Yes,No,No,Yes,Yes,No
0017-IUDMW,No,Female,No,Yes,Yes,72,Two year,Yes,Credit card (automatic),116.8,8456.75,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0018-NYROU,No,Female,No,Yes,No,5,Month-to-month,Yes,Electronic check,68.95,351.5,Yes,No,Fiber optic,No,No,No,No,No,No
0019-EFAEP,No,Female,No,No,No,72,Two year,Yes,Bank transfer (automatic),101.3,7261.25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
0019-GFNTW,No,Female,No,No,No,56,Two year,No,Bank transfer (automatic),45.05,2560.1,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
0020-INWCK,No,Female,No,Yes,Yes,71,Two year,Yes,Credit card (automatic),95.75,6849.4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
0020-JDNXP,No,Female,No,Yes,Yes,34,One year,No,Mailed check,61.25,1993.2,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
0021-IKXGC,No,Female,Sí,No,No,1,Month-to-month,Yes,Electronic check,72.1,72.1,Yes,Yes,Fiber optic,No,No,No,No,No,No
0022-TCJCI,Yes,Male,Sí,No,No,45,One year,No,Credit card (automatic),62.7,2791.5,Yes,No,DSL,Yes,No,Yes,No,No,Yes
0023-HGHWL,Yes,Male,Sí,No,No,1,Month-to-month,Yes,Electronic check,25.1,25.1,No,No phone service,DSL,No,No,No,No,No,No
0023-UYUPN,No,Female,Sí,Yes,No,50,One year,No,Electronic check,25.2,1306.3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0023-XUOPT,Yes,Female,No,Yes,No,13,Month-to-month,No,Electronic check,94.1,1215.6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
0027-KWYKW,No,Female,No,Yes,Yes,23,Month-to-month,Yes,Electronic check,83.75,1849.95,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
0030-FNXPP,No,Female,No,No,No,3,Month-to-month,No,Mailed check,19.85,57.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0031-PVLZI,Yes,Female,No,Yes,Yes,4,Month-to-month,No,Mailed check,20.35,76.35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0032-PGELS,Yes,Female,No,Yes,Yes,1,Month-to-month,No,Bank transfer (automatic),30.5,30.5,No,No phone service,DSL,Yes,No,No,No,No,No
0036-IHMOT,No,Female,No,Yes,Yes,55,One year,Yes,Bank transfer (automatic),103.7,5656.75,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0040-HALCW,No,Male,No,Yes,Yes,54,Two year,No,Credit card (automatic),20.4,1090.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0042-JVWOJ,No,Male,No,No,No,26,One year,Yes,Bank transfer (automatic),19.6,471.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0042-RLHYP,No,Female,No,Yes,Yes,69,Two year,No,Bank transfer (automatic),19.7,1396.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0048-LUMLS,No,Male,No,Yes,Yes,37,One year,No,Credit card (automatic),91.2,3247.55,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
0048-PIHNL,No,Female,No,Yes,No,49,One year,No,Bank transfer (automatic),20.45,900.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0052-DCKON,No,Male,No,Yes,No,66,One year,No,Bank transfer (automatic),115.8,7942.15,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0052-YNYOT,No,Female,No,No,No,67,One year,No,Electronic check,20.55,1343.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0056-EPFBG,No,Male,No,Yes,Yes,20,Two year,Yes,Credit card (automatic),39.4,825.4,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
0057-QBUQH,No,Female,No,No,Yes,43,Two year,Yes,Electronic check,25.1,1070.15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0058-EVZWM,No,Female,No,Yes,No,55,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
0060-FUALY,No,Female,No,Yes,No,59,Month-to-month,Yes,Electronic check,94.75,5597.65,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
0064-SUDOG,No,Female,No,Yes,Yes,12,Two year,No,Bank transfer (automatic),20.3,224.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0064-YIJGF,No,Male,No,Yes,Yes,27,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,Yes,Yes,Fiber optic,No,No,No,No,No,No
0067-DKWBL,Yes,Male,Sí,No,No,2,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,No,DSL,Yes,No,No,No,No,No
0068-FIGTF,No,Female,No,No,No,27,One year,No,Mailed check,78.2,2078.95,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
0071-NDAFP,No,Male,No,Yes,Yes,25,Two year,No,Credit card (automatic),25.5,630.6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0074-HDKDG,No,Male,No,Yes,Yes,25,One year,Yes,Bank transfer (automatic),61.6,1611.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No
0076-LVEPS,No,Male,No,No,Yes,29,Month-to-month,Yes,Mailed check,45.0,1242.45,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
0078-XZMHT,No,Male,No,Yes,No,72,Two year,Yes,Bank transfer (automatic),85.15,6316.2,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
0080-EMYVY,No,Female,No,No,No,14,One year,No,Credit card (automatic),51.45,727.85,Yes,No,DSL,No,Yes,No,No,No,No
